anio,cat,siaf_id,pia,pim,devengado
2008,total,300585,2134725,4544547,2069262
2008,total,300586,2366463,2220777,1974524
2008,total,300587,3375724,2980753,2605381
2008,total,300588,2953204,2972713,2514113
2008,total,300589,1166684,1069124,954547
2008,total,300590,1569482,1567940,1205708
2008,total,300591,848375,796197,759411
2008,total,300592,2602423,3444682,2286955
2008,total,300593,828234,928036,716174
2008,total,300594,4662909,8489487,4026878
2008,total,300595,730356,721493,679173
2008,total,300596,3018608,2680967,2005539
2008,total,300597,3098733,4253193,4004644
2008,total,300598,1085227,1253444,1106446
2008,total,300599,965350,972336,861118
2008,total,300600,1189925,1554344,1380368
2008,total,300601,1253563,2175747,1189445
2008,total,300602,793981,790384,779023
2008,total,300603,1073094,6584500,1903542
2008,total,300604,2593984,3311335,2812105
2008,total,300605,16911040,29476739,20988656
2008,total,300606,3083417,3316961,2867659
2008,total,300607,1340450,1217776,1087125
2008,total,300608,1067544,987638,854464
2008,total,300609,1550681,1602947,1393303
2008,total,300610,2025849,2360534,2028690
2008,total,300611,4486476,9340567,6150792
2008,total,300612,1783756,2487481,1688255
2008,total,300613,1063616,1290610,925205
2008,total,300614,1331981,1785759,1277092
2008,total,300615,1193824,1228381,1114473
2008,total,300616,1837895,1797721,1367799
2008,total,300617,2539470,2305483,1914665
2008,total,300618,2893077,4319364,3165142
2008,total,300619,828516,973039,906545
2008,total,300620,21782830,39754149,19025117
2008,total,300621,1308156,1292409,1041038
2008,total,300622,5233959,5745648,4737840
2008,total,300623,20821671,27927005,26490912
2008,total,300624,4399724,7178737,5247887
2008,total,300625,2939332,3203230,3016572
2008,total,300626,3503583,5719708,3277561
2008,total,300627,2647060,2453335,1968878
2008,total,300628,1530555,1324271,1180180
2008,total,300629,2491238,2668354,2545709
2008,total,300630,1829784,13369046,4851671
2008,total,300631,2333457,2446939,2117560
2008,total,300632,1841680,1756651,1629006
2008,total,300633,2138328,3440915,2398883
2008,total,300634,3392598,5493730,4277575
2008,total,300635,12525261,16690550,15159101
2008,total,300636,3819753,3927797,3525939
2008,total,300637,5835889,8595939,6310049
2008,total,300638,5178240,8503526,5069803
2008,total,300639,2661990,2911037,2269822
2008,total,300640,5365132,10347486,7059014
2008,total,300641,4273104,8862559,6514397
2008,total,300642,6602934,8744740,7531110
2008,total,300643,1205525,1788236,1525137
2008,total,300644,860561,1037566,882513
2008,total,300645,2351506,4595599,2990770
2008,total,300646,931926,1254563,1108110
2008,total,300647,1421749,2031222,1781629
2008,total,300648,4380551,5737337,4602597
2008,total,300649,5577097,7768696,6794680
2008,total,300650,826974,791006,677441
2008,total,300651,1457242,1798186,1392858
2008,total,300652,1101061,1629242,1118306
2008,total,300653,1064109,1099346,835739
2008,total,300654,1106033,1245959,720345
2008,total,300655,1538607,2962191,2452480
2008,total,300656,762115,794072,697658
2008,total,300657,1450959,2690897,1794869
2008,total,300658,1163492,1225403,1056793
